Name,Pop_1990,Pop_2000,Pop_2010,Pop_2019,Change_2010-19
Puerto Rico,3522037.00,3808605.00,3726157.00,3193694.00,-14.30%
West Virginia,1793477.00,1808193.00,1853018.00,1792147.00,-3.30%
Illinois,11430602.00,12419927.00,12831572.00,12671821.00,-1.20%
Vermont,562758.00,608613.00,625737.00,623989.00,-0.30%
Connecticut,3287116.00,3405650.00,3574147.00,3565287.00,-0.20%
Mississippi,2575475.00,2844754.00,2968130.00,2976149.00,0.30%
New York,17990778.00,18977026.00,19378144.00,19453561.00,0.40%
Rhode Island,1003464.00,1048259.00,1052964.00,1059361.00,0.60%
Pennsylvania,11882842.00,12280548.00,12702868.00,12801989.00,0.80%
New Jersey,7747750.00,8414764.00,8791978.00,8882190.00,1.00%
Michigan,9295287.00,9938823.00,9884116.00,9986857.00,1.00%
Maine,1227928.00,1274779.00,1328358.00,1344212.00,1.20%
Ohio,10847115.00,11353336.00,11536751.00,11689100.00,1.30%
New Mexico,1515069.00,1819017.00,2059199.00,2096829.00,1.80%
Kansas,2477588.00,2688925.00,2853123.00,2913314.00,2.10%
Wisconsin,4891954.00,5363757.00,5687285.00,5822434.00,2.40%
Missouri,5116901.00,5596564.00,5988950.00,6137428.00,2.50%
Louisiana,4221826.00,4469035.00,4533487.00,4648794.00,2.50%
Alabama,4040389.00,4447207.00,4780125.00,4903185.00,2.60%
Wyoming,453589.00,493786.00,563775.00,578759.00,2.70%
Kentucky,3686892.00,4042193.00,4339333.00,4467673.00,3.00%
Alaska,550043.00,626933.00,710249.00,731545.00,3.00%
New Hampshire,1109252.00,1235807.00,1316462.00,1359711.00,3.30%
Arkansas,2350624.00,2673293.00,2916031.00,3017804.00,3.50%
Iowa,2776831.00,2926538.00,3046871.00,3155070.00,3.60%
Indiana,5544156.00,6080827.00,6484051.00,6732219.00,3.80%
Hawaii,1108229.00,1211497.00,1360307.00,1415872.00,4.10%
Maryland,4780753.00,5296647.00,5773794.00,6045680.00,4.70%
Massachusetts,6016425.00,6349364.00,6547785.00,6892503.00,5.30%
Oklahoma,3145576.00,3450451.00,3751582.00,3956971.00,5.50%
Nebraska,1578417.00,1711230.00,1826305.00,1934408.00,5.90%
California,29811427.00,33871653.00,37254519.00,39512223.00,6.10%
United States,248790925.00,281424600.00,308758105.00,328239523.00,6.30%
Minnesota,4375665.00,4919631.00,5303927.00,5639632.00,6.30%
Virginia,6189197.00,7079057.00,8001049.00,8535519.00,6.70%
Tennessee,4877203.00,5689427.00,6346276.00,6829174.00,7.60%
Montana,799065.00,902200.00,989407.00,1068778.00,8.00%
Delaware,666168.00,783559.00,897937.00,973764.00,8.40%
South Dakota,696004.00,754858.00,814198.00,884659.00,8.70%
Georgia,6478149.00,8186653.00,9688729.00,10617423.00,9.60%
North Carolina,6632448.00,8046346.00,9535751.00,10488084.00,10.00%
Oregon,2842337.00,3421524.00,3831079.00,4217737.00,10.10%
South Carolina,3486310.00,4012023.00,4625366.00,5148714.00,11.30%
Washington,4866669.00,5894281.00,6724540.00,7614893.00,13.20%
North Dakota,638800.00,642237.00,672576.00,762062.00,13.30%
Arizona,3665339.00,5130247.00,6392288.00,7278717.00,13.90%
Idaho,1006734.00,1293957.00,1567657.00,1787065.00,14.00%
Nevada,1201675.00,1998250.00,2700677.00,3080156.00,14.10%
Florida,12938071.00,15982571.00,18804564.00,21477737.00,14.20%
Colorado,3294473.00,4302086.00,5029319.00,5758736.00,14.50%
Texas,16986335.00,20851028.00,25146091.00,28995881.00,15.30%
Utah,1722850.00,2233183.00,2763891.00,3205958.00,16.00%
District of Columbia,606900.00,572086.00,601767.00,705749.00,17.30%
Ontario,0.00,0.00,0.00,14637880.00,0.00%
Nova Scotia,0.00,0.00,0.00,975231.00,0.00%
British Columbia,0.00,0.00,0.00,5125629.00,0.00%
Manitoba,0.00,0.00,0.00,1373574.00,0.00%